dataset,exp,fuzzy_model,failure_mode,count,pct_within_model_exp
wordorder_large_exp,wordorder,gpt-5-mini,hallucinated_vocab,1904,79.23429047024553
wordorder_large_exp,wordorder,gpt-5-mini,mixed_other,135,5.617977528089888
wordorder_large_exp,wordorder,gpt-5-mini,same_length_substitution,134,5.576362879733666
wordorder_large_exp,wordorder,gpt-5-mini,word_order_only,80,3.329171868497711
wordorder_large_exp,wordorder,gpt-5-mini,too_short,48,1.9975031210986267
wordorder_large_exp,wordorder,gpt-5-mini,source_lexicon_intrusion,39,1.6229712858926342
wordorder_large_exp,wordorder,gpt-5-mini,copied_source,31,1.290054099042863
wordorder_large_exp,wordorder,gpt-5-mini,repetition_loop,17,0.7074490220557637
wordorder_large_exp,wordorder,gpt-5-mini,too_long,8,0.3329171868497711
wordorder_large_exp,wordorder,gpt-5-mini,partial_span,4,0.16645859342488556
wordorder_large_exp,wordorder,gpt-5-mini,no_answer,3,0.12484394506866417
wordorder_large_exp,wordorder,gpt-5-nano,hallucinated_vocab,2278,52.5854108956602
wordorder_large_exp,wordorder,gpt-5-nano,word_order_only,967,22.32225300092336
wordorder_large_exp,wordorder,gpt-5-nano,too_long,297,6.85595567867036
wordorder_large_exp,wordorder,gpt-5-nano,too_short,240,5.54016620498615
wordorder_large_exp,wordorder,gpt-5-nano,source_lexicon_intrusion,152,3.508771929824561
wordorder_large_exp,wordorder,gpt-5-nano,mixed_other,123,2.839335180055402
wordorder_large_exp,wordorder,gpt-5-nano,repetition_loop,91,2.100646352723915
wordorder_large_exp,wordorder,gpt-5-nano,same_length_substitution,80,1.8467220683287164
wordorder_large_exp,wordorder,gpt-5-nano,no_answer,53,1.2234533702677748
wordorder_large_exp,wordorder,gpt-5-nano,copied_source,46,1.061865189289012
wordorder_large_exp,wordorder,gpt-5-nano,partial_span,5,0.11542012927054478
